Id,ShortName,HQ,YearOfBirth,Allegiance,PreparationEthos,PreparationText,ExpansionEthos,ExpansionText,ExpansionStrongGovernment,ExpansionWeakGovernment,ControlEthos,ControlText,ControlStrongGovernment,ControlWeakGovernment,HQSystemEffect,ControlSystemEffect,AllianceExploitedEffect,EmpireExploitedEffect,FederationExploitedEffect,IndependentExploitedEffect,Rating1,Rating2,Rating3,Rating4,Rating5
1,Aisling,Cubeo,3276,Empire,Social,"<p>Aisling's media teams use viral propaganda campaigns to capture hearts and minds, showing a new and populist vision of the Empire.</p>",Finance,"<p>Aisling's backer's interests acquire controlling stakes in newsfeed and media networks throughout the system, ushering in a new era of socially engineered Imperial support.</p>",Corporate,"Communist, Cooperative, Feudal & Patronage",Social,<p>A sustained media blitz focusing on Aisling's good deeds helps recover wavering support in systems under her sway.</p>,"Communist, Cooperative & Confederacy","Feudal, Prison Colony & Theocracy",,"<ul><li>Imperial Slaves banned.</li><li>10% increase in value of high value goods.</li><li>Security level raised.</li><li>Greater production and consumption of high value goods.</li><li>In her domain, Empire aligned faction activity influence effects are boosted while those of Federation alignment are reduced.</li></ul>",<ul><li>Imperial Slaves banned.</li><li>Greater production and consumption of high value goods.</li></ul>,<ul><li>Imperial Slaves banned.</li><li>Greater production and consumption of high value goods.</li></ul>,<ul><li>Imperial Slaves banned.</li><li>Greater production and consumption of high value goods.</li></ul>,<ul><li>Imperial Slaves banned.</li><li>Greater production and consumption of high value goods.</li></ul>,"<ul><li>Weekly bonus: 1,000 Cr.</li><li>0 Consolidation Vote.</li><li>10 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 100 merits.</li><li>Weekly bonus: 50,000 Cr.</li><li>1 Consolidation Vote.</li><li>15 Power commodity allocation every half hour.</li><li>Any influence change applied in a controlled / exploited system is increased by 10%, increasing to 15/20/25% at galactic power standing levels 3/2/1 respectively.</li></ul>","<ul><li>Unlocked at 750 merits</li><li>Weekly bonus: 500,000 Cr.</li><li>1 Consolidation Vote.</li><li>20 Power commodity allocation every half hour.</li><li>Unlocks access to Prismatic Shield Generators after 4 weeks pledged to this Power. These create particularly strong shields.</li></ul>","<ul><li>Unlocked at 1,500 merits.</li><li>Weekly bonus: 5,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>25 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 10,000 merits.</li><li>Weekly bonus: 50,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>50 Power commodity allocation every half hour.</li><li>100% increase to influence reward in controlled / exploited systems.</li></ul>"
2,Delaine,Harma,3249,Independent,Combat,<p>Archon Delaine exploits and nurtures the criminal element in the system providing resources and contacts to ensure they pervade every level of society. Blackmail and bribery ensure that everyone answers to the Kumo Crew.</p>,Combat,"<p>After nurturing the criminal element in a particular system, Archon Delaine then instigates infighting and violent insurrection, forcing any that might resist him to try and clean up the problem.</p>",Feudal & Patronage,Dictatorship,Social,"<p>""There is no time for weakness. We rule through fear and will divide and conquer those that are resistant to our presence. They will pay the inevitable price in blood and have their families sold into slavery.""</p>","Communist, Cooperative & Confederacy","Feudal, Prison Colony & Theocracy",,"<ul><li>All weapons, slaves, narcotics and medicines are legal.</li><li>Huge increase in consumption and production of narcotics and weapons along with reduced prices.</li><li>Security level is halved.</li><li>Black markets are opened if not already present.</li><li>All factional influence and activity have an increased effect, though it favours independents over Federal and Imperial systems.</li></ul>",<ul><li>Security level is halved.</li><li>Black markets pay 10% more for illegal goods.</li></ul>,<ul><li>Security level is halved.</li><li>Black markets pay 10% more for illegal goods.</li></ul>,<ul><li>Security level is halved.</li><li>Black markets pay 10% more for illegal goods.</li></ul>,<ul><li>Security level is halved.</li><li>Black markets pay 10% more for illegal goods.</li></ul>,"<ul><li>Weekly bonus: 1,000 Cr.</li><li>0 Consolidation Vote.</li><li>10 Power commodity allocation every half hour.","<ul><li>Unlocked at 100 merits.</li><li>Weekly bonus: 50,000 Cr.</li><li>1 Consolidation Vote.</li><li>15 Power commodity allocation every half hour.</li><li>Bounties and fines incurred in controlled / exploited systems are reduced by 20%, increasing to 30/40/50 percent at galactic power standing levels 3/2/1 respectively.</li></ul>","<ul><li>Unlocked at 750 merits.</li><li>Weekly bonus: 500,000 Cr.</li><li>1 Consolidation Vote.</li><li>20 Power commodity allocation every half hour.</li><li>Unlocks the Cytoscrambler - after 4 weeks aligned with this Power. This is a burst laser that is highly effective against shields but does no hull damage.</li></ul>","<ul><li>Unlocked at 1,500 merits.</li><li>Weekly bonus: 5,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>25 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 10,000 merits.</li><li>Weekly bonus: 50,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>50 Power commodity allocation every half hour.</li><li>100% reduction on fines and bounties incurred in controlled / exploited systems.</li></ul>"
3,ALD,Kamadhenu,3243,Empire,Social,<p>The Emperor's staff researches intelligence from systems to expose endemic corruption. These damning reports are used to highlight the benefits of Imperial justice.</p>,Combat,"<p>To save a system from the corruption of their own officials, Emperor Lavigny-Duval despatches contingents of her own fleet and private contractors to root them out.</p>",Feudal & Patronage,Dictatorship,Combat,<p>Emperor Lavigny-Duval upholds law and order by maintaining a military garrison in her controlled systems. They are on constant alert and ready to mete out Imperial justice to wrongdoers.</p>,Feudal & Patronage,Dictatorship,,"<ul><li>Fines and bounties doubled.</li><li>Payout for bounty claims increased by 20%.</li><li>Security increased.</li><li>Black markets closed.</li><li>In her domain, Empire aligned faction activity influence effects are boosted while Federation aligned are reduced.</li></ul>",<ul><li>Payout for bounty claims increased by 20%.</li><li>Black market illegal goods value increased by 5%.</li></ul>,<ul><li>Payout for bounty claims increased by 20%.</li><li>Black market illegal goods value increased by 5%.</li></ul>,<ul><li>Payout for bounty claims increased by 20%.</li><li>Black market illegal goods value increased by 5%.</li></ul>,<ul><li>Payout for bounty claims increased by 20%.</li><li>Black market illegal goods value increased by 5%.</li></ul>,"<ul><li>Weekly bonus: 1,000 Cr.</li><li>0 Consolidation Vote.</li><li>10 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 100 merits.</li><li>Weekly bonus: 50,000 Cr.</li><li>1 Consolidation Votes.</li><li>15 Power commodity allocation every half hour.</li><li>Bounties handed in at controlled or exploited systems are increased by 20%, increasing to 30/40/50% at galactic power standing levels 3/2/1 respectively.</li></ul>","<ul><li>Unlocked at 750 merits.</li><li>Weekly bonus: 500,000 Cr.</li><li>1 Consolidation Votes.</li><li>20 Power commodity allocation every half hour.</li><li>Access to the Imperial hammer after 4 weeks aligned with this Power. This is a multi-shot rail gun.</li></ul>","<ul><li>Unlocked at 1,500 merits.</li><li>Weekly bonus: 5,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>25 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 10,000 merits.</li><li>Weekly bonus: 50,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>50 Power commodity allocation every half hour.</li><li>Bounties handed in at controlled or exploited systems are increased by 100%.</li></ul>"
4,Patreus,Eotienses,3253,Empire,Finance,"<p>In order to make systems more susceptible to his will, the Senator offers an extensive line of credit to all parties interested in ordering bulk shipments of Imperial armaments.</p>",Combat,"<p>As controller of one of the largest private fleets in the Empire, Senator Patreus is able to muster armed forces large enough to overthrow all but the mightiest of interstellar powers.</p>",Feudal & Patronage,Dictatorship,Combat,<p>The Senator protects those under his care by providing funds and supplies to help bolster local security forces. Private contractors working for Senator Patreus have an excellent track record for executing his will.</p>,Feudal & Patronage,Dictatorship,,"<ul><li>Imperial Slaves legalised.</li><li>10% price reduction on Imperial ships in shipyards in his domain.</li><li>Empire aligned faction activity influence effects are boosted, while Federally aligned are reduced.</li></ul>",<ul><li>5% reduced purchase price for high value goods to cover new taxes.</li></ul>,<ul><li>30% increased consumption and production for high value goods.</li><li>5% increase in price paid for high value goods.</li></ul>,<ul><li>5% reduced purchase price for high value goods to cover new taxes.</li></ul>,<ul><li>5% reduced purchase price for high value goods to cover new taxes.</li></ul>,"<ul><li>Weekly bonus: 1,000 Cr.</li><li>0 Consolidation Vote.</li><li>10 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 100 merits.</li><li>Weekly bonus: 50,000 Cr.</li><li>1 Consolidation Vote.</li><li>15 Power commodity allocation every half hour.</li><li>Weapon modules in controlled / exploited systems have a 10% cost reduction, increasing to 20/25/30 percent at galactic power standing levels 3/2/1 respectively.</li></ul>","<ul><li>Unlocked at 750 merits.</li><li>Weekly bonus: 500,000 Cr.</li><li>1 Consolidation Vote.</li><li>20 Power commodity allocation every half hour.</li><li>Unlocks access to the Advanced Plasma Accelerator - after 4 weeks aligned with this Power. This is a specialist plasma weapon.</li></ul>","<ul><li>Unlocked at 1,500 merits.</li><li>Weekly bonus: 5,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>25 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 10,000 merits.</li><li>Weekly bonus: 50,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>50 Power commodity allocation every half hour.</li><li>90% reduction in munitions costs in controlled / exploited systems.</li></ul>"
5,Mahon,Gateway,3187,Alliance,Finance,<p>The Alliance provides a broad rage of trade agreements and other benefits. These favour independent systems.</p>,Finance,<p>Mahon encourages systems into the Alliance fold through diplomatic missions and creating legislation which enables easy access.</p>,Corporate,"Communist, Cooperative, Feudal & Patronage",Finance,<p>Prime Minister Mahon galvanises his presence in systems by establishing greater governmental links and trade protectionism. In such a manner as to limit other parties' ability to gain influence.</p>,Corporate,"Communist, Cooperative, Feudal & Patronage",,"<ul><li>20% reduction on hull reinforcements and cargo racks.</li><li>4 times greater production and consumption of agricultural goods and equipment.</li><li>5% price reduction in agricultural goods and equipment.</li><li>In his domain, Independent and Alliance faction activity influence effects are boosted, while those of the Federation and Empire are reduced.</li></ul>",<ul><li>10% price increase in agricultural food goods.</li><li>4 times greater production and consumption of agricultural goods.</li><li>5% price reduction in agricultural equipment.</li></ul>,<ul><li>50% reduction of production and consumption of agricultural goods.</li><li>5% increase in price of agricultural goods.</li></ul>,<ul><li>50% reduction of production and consumption of agricultural goods.</li><li>5% increase in price of agricultural goods.</li></ul>,<ul><li>10% price increase in agricultural food goods.</li><li>4 times greater production and consumption of agricultural goods.</li><li>5% price reduction in agricultural equipment.</li></ul>,"<ul><li>Weekly bonus: 1,000 Cr.</li><li>0 Consolidation Vote.</li><li>10 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 100 merits.</li><li>Weekly bonus: 50,000 Cr.</li><li>1 Consolidation Vote.</li><li>15 Power commodity allocation every half hour.</li><li>Trade profits in a controlled / exploited system are rewarded with a voucher for 5% of the profits increasing to 10/15/20% at galactic standing levels 3/2/1 respectively.</li></ul>","<ul><li>Unlocked at 750 merits.</li><li>Weekly bonus: 500,000 Cr.</li><li>1 Consolidation Vote.</li><li>20 Power commodity allocation every half hour.</li><li>Unlocks the Retribution after 4 weeks aligned to this Power. This is a small beam laser which causes enhanced heat damage.</li></ul>","<ul><li>Unlocked at 1,500 merits.</li><li>Weekly bonus: 5,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>25 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 10,000 merits.</li><li>Weekly bonus: 50,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>50 Power commodity allocation every half hour.</li><li>0% increase on rare goods profits in controlled / exploited systems.</li></ul>"
6,Winters,Rhea,3229,Federation,Social,<p>Shadow President Felicia Winters' media teams provide education on how liberal values bring a better life to all in the targeted systems.</p>,Finance,<p>Shadow President Felicia Winters sets in motion an extensive aid campaign improving welfare and health in the system. It's accompanied by agreements to ensure that Federal values are respected in those systems.</p>,Corporate,"Communist, Cooperative, Feudal & Patronage",Finance,"<p>Shadow President Felicia Winters' tactics specialise in building communities, binding systems together through common causes, and utilising Federal courier services to aid continuity and smooth operations.</p>",Corporate,"Communist, Cooperative, Feudal & Patronage",,"<ul><li>Imperial Slaves banned.</li><li>Consumption and production of basic foods and medicine increased 3 times.</li><li>20% security level increase.</li><li>In her domain, all Federal aligned faction activity influence effects are boosted while Imperial aligned factions are reduced.</li></ul>",<ul><li>Imperial Slaves banned.</li><li>Two times increase in consumption and production of basic foods and medicine.</li></ul>,<ul><li>10% increased costs of Imperial Slaves due to political resistance to their existence.</li></ul>,<ul><li>Imperial Slaves banned.</li><li>Two times increase in consumption and production of basic foods and medicine.</li><li>20% security level increase.</li></ul>,<ul><li>10% increased costs of Imperial Slaves due to political resistance to their existence.</li></ul>,"<ul><li>Weekly bonus: 1,000 Cr.</li><li>0 Consolidation Vote.</li><li>10 Power commodity allocation every half hour."</li></ul>,"<ul><li>Unlocked at 100 merits.</li><li>Weekly bonus: 50,000 Cr.</li><li>1 Consolidation Vote.</li><li>15 Power commodity allocation every half hour.</li><li>Any positive influence change in a controlled / exploited system is increased by 10%, increasing to 15/20/25% at galactic power standing levels 3/2/1 respectively.</li></ul>","<ul><li>Unlocked at 750 merits.</li><li>Weekly bonus: 500,000 Cr.</li><li>1 Consolidation Vote.</li><li>20 Power commodity allocation every half hour.</li><li>Unlocks access to the Pulse Disruptor after 4 weeks aligned with this Power. This is a medium pulse weapon that also causes module malfunction.</li></ul>","<ul><li>Unlocked at 1,500 merits.</li><li>Weekly bonus: 5,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>25 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 10,000 merits.</li><li>Weekly bonus: 50,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>50 Power commodity allocation every half hour.</li><li>100% increase to influence reward in controlled / exploited systems.</li></ul>"
7,LYR,Lembava,3198,Independent,Social,"<p>Li Yong-Rui leverages his connections with Sirius Corp to build an irresistible flood of discounts and media presence, inspiring spending and investment from the population.</p>",Finance,"<p>Li Yong-Rui uses his access to vast funds in order to buy up huge swathes of both private and government sectors, leading to absolute control of the system.</p>",Corporate,"Communist, Cooperative, Feudal & Patronage",Finance,"<p>Li Yong-Rui cements his control of systems by oiling the wheels of industry, distributing much needed technology and resources from its headquarters in Lembava.</p>",Corporate,"Communist, Cooperative, Feudal & Patronage",,"<ul><li>Production and consumption of high tech goods is doubled.</li><li>Purchase price for high tech goods is down by 10%.</li><li>All shipyards stock Cobra, Diamondback, Asp and Python.</li><li>Outfitting prices reduced by 15%.</li><li>Sirius Gov has a stabilising effect on all systems no matter what their allegiance, so faction activity influence effects are reduced across the board but more so for Federation and Imperial factions.</li></ul>",<ul><li>Production and consumption of high tech goods is doubled.</li><li>Purchase price for high tech goods is down by 10%.</li></ul>,<ul><li>Production and consumption of high tech goods is doubled.</li><li>Purchase price for high tech goods is down by 10%.</li></ul>,<ul><li>Production and consumption of high tech goods is doubled.</li><li>Purchase price for high tech goods is down by 10%.</li></ul>,<ul><li>Production and consumption of high tech goods is doubled.</li><li>Purchase price for high tech goods is down by 10%.</li></ul>,"<ul><li>Weekly bonus: 1,000 Cr.</li><li>0 Consolidation Vote.</li><li>10 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 100 merits.</li><li>Weekly bonus: 50,000 Cr.</li><li>1 Consolidation Vote.</li><li>15 Power commodity allocation every half hour.</li><li>Any ship insurance cost paid in controlled or exploited systems is reduced by 5%, increasing to 10/15/20 percent at galactic power standing levels 3/2/1 respectively.</li></ul>","<ul><li>Unlocked at 750 merits.</li><li>Weekly bonus: 500,000 Cr.</li><li>1 Consolidation Vote.</li><li>20 Power commodity allocation every half hour.</li><li>Unlocks the Pack-hound Rack - unlocked after 4 weeks aligned with this Power. This is a medium seeker missile rack that fires a salvo of ""drunk"" missiles.</li></ul>","<ul><li>Unlocked at 1,500 merits.</li><li>Weekly bonus: 5,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>25 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 10,000 merits.</li><li>Weekly bonus: 50,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>50 Power commodity allocation every half hour.</li><li>200% increase on exploration data sale in controlled / exploited systems.</li></ul>"
8,Antal,Polevnic,3225,Independent,Social,"<p>Utopian forces deliver propaganda on a mammoth scale, promising the chance to begin again in a golden land of opportunity.</p>",Social,"<p>Saving systems from the misguided bureaucrats who resist the truth of Utopia, Pranav Antal recruits Utopian Agitators to exert his will.</p>","Communist, Cooperative & Confederacy","Feudal, Prison Colony & Theocracy",Covert,"<p>Only through vigilance can the followers of Utopia be kept safe from the menace of opposition. This requires extra purity on the part of the enforcers, but they are willing to make that sacrifice.</p>","Feudal, Dictatorship, Communist & Cooperative",Democracy,"<ul><li>Narcotics, slaves and medicines (apart from basic and agricultural) are banned.",<ul><li>Doubling of received fines and bounties.</li><li>Black markets are closed.</li><li> Pranav Antal's unusual governance results in unstable systems so all factional influence activity has an increased effect though it favours independents over Federal and Empire factions.,<ul><li>50% increase on received fines and bounties.</li><li>Black markets pay an extra 10% more for illegal goods.</li></ul>,<ul><li>50% increase on received fines and bounties.</li><li>Black markets pay an extra 10% more for illegal goods.</li></ul>,<ul><li>50% increase on received fines and bounties.</li><li>Black markets pay an extra 10% more for illegal goods.</li></ul>,<ul><li>50% increase on received fines and bounties.</li><li>Black markets pay an extra 10% more for illegal goods.</li></ul>,"<ul><li>Weekly bonus: 1,000 Cr.</li><li>0 Consolidation Vote.</li><li>10 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 100 merits.</li><li>Weekly bonus: 50,000 Cr.</li><li>1 Consolidation Vote.</li><li>15 Power commodity allocation every half hour.</li><li>Positive influence change in a controlled / exploited system is increased by 5%, increasing to 10/15/20 percent at galactic power levels 3/2/1 respectively.</li></ul>","<ul><li>Unlocked at 750 merits.</li><li>Weekly bonus: 500,000 Cr.</li><li>1 Consolidation Vote.</li><li>20 Power commodity allocation every half hour.</li><li>Unlocks the Enforcer Cannon - after 4 weeks aligned with this Power. This weapon has a reduced fire rate but improved damage.</li></ul>","<ul><li>Unlocked at 1,500 merits.</li><li>Weekly bonus: 5,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>25 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 10,000 merits.</li><li>Weekly bonus: 50,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>50 Power commodity allocation every half hour.</li><li>100% bonus on bounty payouts in controlled / exploited systems.</li></ul>"
9,Grom,Clayakarma,3256,Independent,Covert,<p>Yuri Grom uses secret service agents to support insurgent forces in systems he is preparing.</p>,Combat,<p>When system's oppositionists receives enough support - they launch an uprising turning to Grom for help. Yuri Grom provides support sending his battle fleet to take control.</p>,Feudal & Patronage,Dictatorship,Covert,<p>Active counter-intelligence helps prevent hostile entities from breaking Yuri Grom's influence in systems under his control.</p>,"Feudal, Dictatorship, Communist & Cooperative",Democracy,,"<ul><li>Pay out for bounty claims increased by 20%.</li><li>Security increased.</li><li>Black markets closed.</li><li>Gold price increased by 5%.</li><li>In Yuri Grom's domain, Independent faction activity influence effects are boosted while all others are reduced.</li></ul>",<ul><li>Pay out for bounty claims increased by 20%.</li><li>Gold price reduced by 5%.</li></ul>,<ul><li>Pay out for bounty claims increased by 20%.</li><li>Gold price reduced by 5%.</li></ul>,<ul><li>Pay out for bounty claims increased by 20%.</li><li>Gold price reduced by 5%.</li></ul>,<ul><li>Pay out for bounty claims increased by 20%.</li><li>Gold price reduced by 5%.</li><li>Security increased.</li></ul>,"<ul><li>Weekly bonus: 1,000 Cr.</li><li>0 Consolidation Vote.</li><li>10 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 100 merits.</li><li>Weekly bonus: 50,000 Cr.</li><li>1 Consolidation Vote.</li><li>15 Power commodity allocation every half hour.</li><li>In control and exploited systems, Trade profit, Exploration Data and Bounties handed in are rewarded with vouchers or an increase of 2%, increasing to 5/7/15 percent at galactic power standing levels 3/2/1 respectively.</li></ul>","<ul><li>Unlocked at 750 merits.</li><li>Weekly bonus: 500,000 Cr.</li><li>1 Consolidation Vote.</li><li>20 Power commodity allocation every half hour. \n• Access to the ""Containment Missile"" - after 4 weeks aligned with this Power. A dumb-fire missile that temporarily disrupts and reboots the target vessel's frame shift drive.</li></ul>","<ul><li>Unlocked at 1,500 merits</li><li>Weekly bonus: 5,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>25 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 10,000 merits.</li><li>Weekly bonus: 50,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>50 Power commodity allocation every half hour.</li><li>100% increase on influence gained in controlled / exploited systems.</li></ul>"
10,Hudson,Nanomam,3218,Federation,Combat,"<p>President Hudson uses intelligence collected by both military and civilian Federal agencies to ensure that he has his finger on the pulse, weighing up where to focus his efforts.</p>",Combat,"<p>President Hudson believes that human space would thrive under the auspices of Federal rule. He is willing to order the use of force if needed, using the pretence of bolstering security when overrunning Federal aligned systems.</p>",Feudal & Patronage,Dictatorship,Combat,"<p>As far as President Hudson is concerned, only a continued show of Federal might is enough to ensure law and order is maintained.</p>",Feudal & Patronage,Dictatorship,,"<ul><li>Imperial Slaves banned.</li><li>Shipyards stock Vulture and Federal Dropship.</li><li>10% reduction on weapons.</li><li>Security levels increase by 30%.</li><li>In his domain, all Federal aligned faction activity influence effects are boosted while Imperial aligned factions are reduced.</li></ul>",<ul><li>40% security reduction as resources are focused on Federal systems.</li></ul>,<ul><li>40% security reduction as resources are focused on Federal systems.</li></ul>,<ul><li>10% reduction on weapons.</li><li>Security levels increased by 20%.</li></ul>,<ul><li>40% security reduction as resources are focused on Federal systems.</li></ul>,"<ul><li>Weekly bonus: 1,000 Cr.</li><li>0 Consolidation Vote.</li><li>10 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 100 merits.</li><li>Weekly bonus: 50,000 Cr.</li><li>1 Consolidation Vote.</li><li>15 Power commodity allocation every half hour.</li><li>Bounties handed in at a controlled or exploited system are increased by 20%, increasing to 30/40/50% at galactic power standing levels 3/2/1 respectively.</li></ul>","<ul><li>Unlocked at 750 merits.</li><li>Weekly bonus: 500,000 Cr.</li><li>1 Consolidation Vote.</li><li>20 Power commodity allocation every half hour.</li><li>Unlocks Pacifier Frag-Cannon after 4 weeks aligned with this Power. This is a large fragmentation cannon with decreased damage but increased range and tighter spread.</li></ul>","<ul><li>Unlocked at 1,500 merits.</li><li>Weekly bonus: 5,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>25 Power commodity allocation every half hour.</li></ul>","<ul><li>Unlocked at 10,000 merits.</li><li>Weekly bonus: 50,000,000 Cr.</li><li>1 Consolidation Vote.</li><li>50 Power commodity allocation every half hour.</li><li>100% increase on bounty payouts in controlled / exploited systems.</li></ul>"
